English,Persian
you,شما
i,من
the,را
to,به
a,الف
s,س
it,آن را
and,و
that,که
t,تی
of,از
is,است
in,در
what,چی
we,ما
me,من
this,این
he,او
for,برای
my,من
on,در
have,دارند
your,شما
do,انجام دهید
was,بود
m,متر
no,نه
not,نه
be,باشد
are,هستند
don,دان
re,دوباره
know,دانستن
can,می تواند
with,با
but,اما
all,همه
so,بنابراین
just,فقط
there,وجود دارد
here,اینجا
they,آنها
like,مانند
ll,ll
get,دریافت کنید
she,او
go,برو
if,اگر
right,درست است
out,بیرون
about,در مورد
up,بالا
at,در
him,او
now,اکنون
oh,اوه
one,یکی
come,بیا
well,خوب
her,او
how,چگونه
yeah,بله
ve,ve
will,خواهد شد
got,گرفت
want,خواستن
think,فکر کن
as,به عنوان
see,ببینید
did,انجام داد
good,خوب
who,سازمان بهداشت جهانی
why,چرا
from,از
let,اجازه دهید
his,او
yes,بله
when,چه زمانی
going,رفتن
time,زمان
an,یک
okay,باشه
back,برگشت
look,نگاه کن
us,ما
would,خواهد شد
them,آنها را
where,کجا
were,بودند
take,گرفتن
then,سپس
had,داشت
or,یا
been,بوده است
our,ما
gonna,قرار است
tell,بگو
really,واقعا
man,مرد
some,برخی
say,بگو
hey,سلام
could,توانست
d,د
didn,انجام داد
by,توسط
need,نیاز دارند
something,چیزی
has,دارد
too,بیش از حد
more,بیشتر
way,راه
down,پایین
make,ساختن
very,بسیار
never,هرگز
only,فقط
people,مردم
over,تمام
because,چون
little,کمی
please,لطفا
love,عشق
should,باید
mean,معنی
said,گفت
sorry,متاسفم
give,دادن
off,خاموش
am,هستم
thank,تشکر
any,هر
two,دو
even,حتی
much,بسیار
doing,انجام دادن
sure,مطمئن
thing,چیز
these,اینها
help,کمک کند
first,اول
into,به
anything,هر چیزی
still,هنوز
find,پیدا کردن
life,زندگی
nothing,هیچ چیز
sir,آقا
day,روز
god,خدا
work,کار کردن
their,آنها
uh,اوه
again,دوباره
maybe,شاید
must,باید
before,قبل از
other,دیگر
wait,صبر کن
stop,توقف
call,تماس بگیرید
after,بعد از
won,برنده شد
talk,صحبت کنید
away,دور
than,از
thought,فکر کرد
home,خانه
night,شب
put,قرار دادن
great,عالی
those,آن ها
last,آخرین
better,بهتر
everything,همه چیز
told,گفت
mr.,آقای
new,جدید
things,چیزها
always,همیشه
keep,نگه دارید
long,طولانی
years,سال
leave,ترک
does,انجام می دهد
money,پول
around,اطراف
doesn,نمی کند
name,نام
place,محل
ever,همیشه
feel,احساس کنید
guys,بچه ها
father,پدر
guy,پسر
made,ساخته شده است
old,قدیمی
isn,نیست
which,که
big,بزرگ
lot,مقدار زیادی
done,انجام شد
hello,سلام
nice,خوب
believe,باور کنید
girl,دختر
someone,کسی
fine,خوب
thanks,با تشکر
wanted,می خواستم
kind,مهربان
coming,آمدن
house,خانه
every,هر
ok,باشه
through,از طریق
being,بودن
course,دوره
stay,ماندن
left,سمت چپ
dad,بابا
enough,به اندازه کافی
happened,اتفاق افتاد
came,آمد
may,می
mother,مادر
wrong,اشتباه
world,جهان
bad,بد
might,ممکن است
three,سه
today,امروز
listen,گوش کن
another,دیگری
understand,درک کنند
hear,بشنو
remember,به یاد داشته باشید
ask,بپرسید
own,خود
same,همان
show,نشان می دهد
else,دیگر
kill,کشتن
talking,صحبت کردن
found,یافت
next,بعدی
getting,گرفتن
care,مراقبت
car,ماشین
looking,نگاه کردن
son,پسر
try,سعی کنید
woman,زن
went,رفت
hi,سلام
dead,مرده
many,بسیاری
mind,ذهن
wasn,بود
friend,دوست
best,بهترین
mom,مادر
hell,جهنم
morning,صبح
trying,تلاش کردن
boy,پسر
together,با هم
yourself,خودت
job,شغل
saw,دید
family,خانواده
real,واقعی
without,بدون
baby,عزیزم
room,اتاق
wouldn,نمی خواست
already,در حال حاضر
move,حرکت کنید
most,بیشتر
seen,دیده می شود
live,زندگی می کنند
miss,خانم
actually,در واقع
huh,هه
shit,لعنتی
both,هر دو
heard,شنیده شد
once,یک بار
ready,آماده
head,سر
called,تماس گرفت
used,استفاده می شود
idea,ایده
knew,می دانست
hold,نگه دارید
happy,خوشحال
door,درب
such,چنین
fuck,لعنتی
brother,برادر
also,همچنین
pretty,زیبا
bit,بیت
took,گرفت
haven,پناهگاه
yet,هنوز
men,مردان
whole,کل
start,شروع کنید
use,استفاده کنید
while,در حالی که
since,از آنجایی که
wife,همسر
days,روز
guess,حدس بزن
tomorrow,فردا
matter,موضوع
meet,ملاقات کنید
bring,آوردن
tonight,امشب
everyone,همه
run,اجرا کنید
wanna,می خواهم
hard,سخت
ah,آه
alone,به تنهایی
myself,خودم
school,مدرسه
gone,رفته
um,ام
end,پایان
saying,گفتن
phone,تلفن
play,بازی کردن
looks,به نظر می رسد
couldn,توانست
fucking,لعنتی
problem,مشکل
few,تعداد کمی
friends,دوستان
gotta,باید
ago,قبل
open,باز کردن
anyone,هر کسی
killed,کشته شد
hope,امید
face,صورت
until,تا
lost,گمشده
police,پلیس
excuse,بهانه
turn,چرخش
business,کسب و کار
case,مورد
wants,می خواهد
says,می گوید
TRUE,درست است
die,بمیر
heart,قلب
soon,به زودی
each,هر کدام
worry,نگرانی
later,بعدا
year,سال
watch,تماشا کن
music,موسیقی
hand,دست
having,داشتن
probably,احتمالا
beautiful,زیبا
doctor,دکتر
sit,بنشین
eat,خوردن
thinking,فکر کردن
young,جوان
second,دوم
working,کار کردن
water,آب
person,شخص
part,بخش
kids,بچه ها
late,دیر
stuff,چیزهای
exactly,دقیقا
under,زیر
death,مرگ
minute,دقیقه
pay,پرداخت کنید
crazy,دیوانه
forget,فراموش کن
everybody,همه
kid,بچه
change,تغییر دهید
gave,داد
happen,اتفاق بیفتد
damn,لعنتی
five,پنج
drink,نوشیدنی
far,دور
knows,می داند
its,آن
whatever,هر چه باشد
eyes,چشم
shut,بسته
aren,آرن
hit,ضربه بزنید
taking,گرفتن
easy,آسان
times,بارها
check,بررسی کنید
hands,دست ها
minutes,دقیقه
deal,معامله
different,متفاوت است
means,به معنی
point,نقطه
inside,داخل
makes,می سازد
asked,پرسید
somebody,کسی
mine,مال من
making,ساختن
body,بدن
afraid,می ترسد
sleep,بخواب
chance,شانس
dear,عزیز
quite,کاملا
four,چهار
anyway,به هر حال
close,بستن
ain,عین
party,مهمانی
fun,سرگرم کننده
against,علیه
word,کلمه
comes,می آید
important,مهم است
set,مجموعه
shall,باید
story,داستان
number,شماره
daughter,دختر
least,حداقل
waiting,در انتظار
hurt,صدمه دیده
wish,آرزو کن
moment,لحظه
fight,مبارزه کن
week,هفته
husband,شوهر
girls,دختران
rest,استراحت
married,متاهل
fire,آتش سوزی
game,بازی
nobody,هیچ کس
mr,آقای
children,کودکان
side,سمت
stand,ایستادن
read,خواندن
though,هر چند
cut,برش دادن
started,آغاز شد
sister,خواهر
supposed,فرض می شود
between,بین
child,کودک
goes,می رود
hours,ساعت
speak,صحبت کنید
women,زنان
behind,پشت سر
almost,تقریبا
truth,حقیقت
blood,خون
able,قادر
lady,خانم
anymore,دیگر
playing,بازی کردن
gets,می شود
shot,شلیک کرد
reason,دلیل
trouble,مشکل
break,شکستن
war,جنگ
city,شهر
walk,راه رفتن
town,شهر
trust,اعتماد
dr.,دکتر
met,ملاقات کرد
office,دفتر
question,سوال
brought,آورده است
yours,مال شما
welcome,خوش آمدید
high,بالا
wow,وای
couple,زوج
half,نصف
died,درگذشت
cool,باحال
free,رایگان
either,یا
seems,به نظر می رسد
power,قدرت
whoa,اوه
bye,خداحافظ
buy,خرید
telling,گفتن
honey,عسل
tried,تلاش کرد
front,جلو
team,تیم
answer,پاسخ دهید
gun,تفنگ
boys,پسران
line,خط
send,ارسال کنید
news,اخبار
stupid,احمق
bed,تخت
hurry,عجله کن
full,پر
months,ماه ها
save,ذخیره کنید
sometimes,گاهی اوقات
become,تبدیل شود
along,همراه
hate,نفرت
food,غذا
outside,خارج
light,نور
l,ل
needs,نیاز دارد
dog,سگ
country,کشور
clear,روشن
order,سفارش دهید
em,ما
fact,واقعیت
lord,ارباب
captain,کاپیتان
six,شش
hot,داغ
funny,خنده دار
black,سیاه
mrs.,خانم
alive,زنده
pick,انتخاب کنید
feeling,احساس
living,زندگی کردن
cause,علت
ahead,جلوتر
lose,از دست دادن
king,پادشاه
plan,برنامه ریزی کنید
dinner,شام
sighs,آه می کشد
sort,مرتب کردن
leaving,ترک کردن
shouldn,نباید
running,در حال اجرا
boss,رئیس
alright,خوب
promise,قول دادن
taken,گرفته شده است
safe,امن
ma,مادر
book,کتاب
sent,فرستاده شد
white,سفید
hour,ساعت
anybody,هر کسی
small,کوچک
perfect,کامل
cause,علت
lives,زندگی می کند
special,خاص
parents,پدر و مادر
s,س
john,جان
himself,خودش
perhaps,شاید
sounds,صداها
serious,جدی
sick,بیمار
company,شرکت
ha,در هکتار
scared,ترسیده
uncle,عمو
poor,فقیر
red,قرمز
past,گذشته
earth,زمین
possible,ممکن است
shoot,شلیک کنید
touch,لمس کنید
sound,صدا
top,بالا
ass,الاغ
laughs,می خندد
cannot,نمی تواند
asking,پرسیدن
win,برنده شدن
glad,خوشحالم
control,کنترل کنید
hmm,هوم
human,انسان
drive,رانندگی کنید
hair,مو
jack,جک
bitch,عوضی
luck,شانس
murder,قتل
happens,اتفاق می افتد
air,هوا
ten,ده
daddy,بابا
finally,در نهایت
chuckles,می خندد
fast,سریع
cold,سرد
seem,به نظر می رسد
laughing,خندیدن
words,کلمات
hospital,بیمارستان
street,خیابان
hang,آویزان کردن
dance,رقصیدن
meeting,جلسه
till,تا
others,دیگران
catch,گرفتن
follow,دنبال کردن
sense,حس
sex,جنسیت
lie,دروغ
evening,عصر
master,استاد
known,شناخته شده است
dream,رویا
write,نوشتن
million,میلیون
voice,صدا
sweet,شیرین
rather,بلکه
felt,احساس کرد
sign,امضا کنید
lucky,خوش شانس
somewhere,جایی
bet,شرط بندی
o,o
jesus,عیسی
longer,طولانی تر
calling,تماس گرفتن
worked,کار کرد
quiet,ساکت
looked,نگاه کرد
less,کمتر
pull,کشیدن
beat,ضرب و شتم
careful,مراقب باشید
coffee,قهوه
return,بازگشت
secret,راز
weeks,هفته ها
weren,بودند
date,تاریخ
seeing,دیدن
fall,سقوط
given,داده شده است
ooh,اوه
fault,تقصیر
straight,مستقیم
takes,می گیرد
song,آهنگ
future,آینده
gentlemen,آقایان
loved,دوست داشت
changed,تغییر کرد
road,جاده
calm,آرام
wonderful,فوق العاده
mad,دیوانه
turned,تبدیل شده است
drop,رها کردن
ladies,خانم ها
learn,یاد بگیرند
step,گام
absolutely,مطلقا
early,اوایل
explain,توضیح دهید
clean,تمیز کردن
piece,قطعه
yesterday,دیروز
throw,پرتاب
picture,تصویر
land,زمین
feet,پا
wonder,تعجب
questions,سوالات
speaking,صحبت کردن
worth,ارزش
darling,عزیزم
dude,یارو
giving,دادن
president,رئیس جمهور
eye,چشم
quick,سریع
moving,در حال حرکت
figure,شکل
state,دولت
strong,قوی
sam,سام
none,هیچ کدام
amazing,شگفت انگیز
ones,آنهایی که
works,کار می کند
act,عمل کنید
needed,مورد نیاز است
weird,عجیب و غریب
law,قانون
worried,نگران
report,گزارش دهید
goodbye,خداحافظ
missing,گم شده
choice,انتخاب
happening,اتفاق می افتد
chief,رئیس
wedding,عروسی
strange,عجیب
general,عمومی
pain,درد
am,هستم
kidding,شوخی کردن
decided,تصمیم گرفت
ya,بله
pass,عبور کند
tired,خسته
class,کلاس
officer,افسر
kept,نگهداری می شود
wake,بیدار
worse,بدتر
busy,مشغول
eh,هه
mistake,اشتباه
kiss,بوسه
court,دادگاه
building,ساختمان
finish,تمام کردن
during,در طول
age,سن
ship,کشتی
caught,گرفتار شد
marry,ازدواج کن
meant,منظور
sell,فروش
dark,تاریک
watching,تماشا کردن
system,سیستم
suppose,فرض کنید
evidence,شواهد
movie,فیلم
ride,سوار شدن
t,تی
completely,به طور کامل
mouth,دهان
totally,کاملا
birthday,تولد
tv,تلویزیون
forgive,ببخش
born,متولد شد
imagine,تصور کنید
information,اطلاعات
instead,در عوض
definitely,قطعا
security,امنیت
certainly,قطعا
film,فیلم
month,ماه
lying,دروغ گفتن
unless,مگر اینکه
train,قطار
seven,هفت
wear,پوشیدن
clothes,لباس
michael,مایکل
hotel,هتل
christmas,کریسمس
attack,حمله کنند
hasn,هان
round,گرد
expect,انتظار می رود
sing,بخوان
terrible,وحشتناک
george,جرج
bag,کیف
history,تاریخچه
blue,آبی
near,نزدیک
broke,شکست
station,ایستگاه
seriously,به طور جدی
forever,برای همیشه
david,دیوید
frank,صریح
except,جز
thinks,فکر می کند
message,پیام
entire,کل
joe,جو
table,جدول
talked,صحبت کرد
across,در سراسر
rock,سنگ
lovely,دوست داشتنی
handle,دسته
middle,وسط
buddy,رفیق
paid,پرداخت شده است
protect,محافظت کند
using,با استفاده از
floor,طبقه
ran,دوید
swear,قسم بخور
spend,خرج کردن
situation,وضعیت
ring,حلقه
anywhere,هر جا
dangerous,خطرناک
bill,صورت حساب
york,یورک
army,ارتش
lead,منجر شود
bought,خرید
finished,به پایان رسید
fair,منصفانه
sun,خورشید
letter,نامه
fool,احمق
attention,توجه
club,باشگاه
simple,ساده
interesting,جالب
space,فضا
test,تست کنید
box,جعبه
group,گروه
single,مجرد
sitting,نشستن
marriage,ازدواج
join,ملحق شدن
fear,ترس
d,د
peace,صلح
forgot,فراموش کرد
force,زور
short,کوتاه
normal,عادی
charlie,چارلی
present,حاضر
enjoy,لذت ببرید
mike,مایک
crime,جنایت
horse,اسب
ground,زمین
american,آمریکایی
count,شمارش
area,منطقه
charge,شارژ
honor,افتخار
lunch,ناهار
miles,مایل
radio,رادیو
idiot,احمق
ball,توپ
surprise,تعجب
paper,کاغذ
key,کلید
boat,قایق
quickly,به سرعت
gold,طلا
bar,نوار
fish,ماهی
mark,علامت گذاری کنید
tom,تام
wearing,پوشیدن
crying,گریه کردن
accident,تصادف
government,دولت
eight,هشت
fell,افتاد
cover,پوشش
certain,معین
interested,علاقه مند است
deep,عمیق
star,ستاره
sea,دریا
agree,موافق
problems,مشکلات
detective,کارآگاه
prison,زندان
major,اصلی
stick,چوب
offer,پیشنهاد
difficult,دشوار است
smart,هوشمند
personal,شخصی
record,ثبت کنید
stopped,متوقف شد
hide,پنهان کردن
whether,آیا
bank,بانک
trip,سفر
relax,استراحت کنید
america,آمریکا
public,عمومی
list,فهرست
afternoon,بعد از ظهر
brain,مغز
fix,رفع کنید
bastard,حرامزاده
proud,افتخار
tea,چای
service,خدمات
screaming,فریاد زدن
forward,به جلو
angry,عصبانی
park,پارک
soul,روح
fighting,مبارزه کردن
peter,پیتر
rich,ثروتمند
agent,عامل
blow,ضربه زدن
paul,پل
dress,لباس
mary,مریم
missed,از دست رفته
scene,صحنه
killing,کشتن
standing,ایستاده
saved,ذخیره شده است
mm,میلی متر
respect,احترام گذاشتن
killer,قاتل
ice,یخ
mess,آشفتگی
tough,سخت
feels,احساس می کند
church,کلیسا
sad,غمگین
cell,سلول
drunk,مست
share,به اشتراک بگذارید
camera,دوربین
mm-hmm,mm-hmm
within,در داخل
card,کارت
fly,پرواز کن
ben,بن
girlfriend,دوست دختر
laugh,بخند
smell,بو
broken,شکسته
mum,مامان
honest,صادقانه
often,اغلب
starting,شروع کردن
calls,تماس می گیرد
y,y
spent,صرف کرد
third,سوم
english,انگلیسی
visit,بازدید کنید
mama,مامان
judge,قضاوت کنید
window,پنجره
hungry,گرسنه
dare,جرات
relationship,رابطه
moved,نقل مکان کرد
prove,ثابت کند
private,خصوصی
wall,دیوار
seat,صندلی
i-i,i-i
position,موقعیت
lieutenant,ستوان
realize,متوجه شدن
lt,آن
especially,به خصوص
machine,دستگاه
walking,راه رفتن
art,هنر
pleasure,لذت